logFC,AveExpr,t,P.Value,adj.P.Val,B
-6.842315845465616,3.4731253163071556,-153.45937045613266,8.731766099105391e-10,5.349283553129432e-7,13.711692165000713
2.076175541224175,7.325085270649015,153.33557487332467,8.764550427712492e-10,5.349283553129432e-7,13.708687672959982
-6.2835211441786285,3.1417605720893143,-152.5956478554333,8.963652219227402e-10,5.349283553129432e-7,13.690644546296262
-3.839934874416195,1.9199674372080975,-147.85980978656227,1.037686004906034e-9,5.877376023666533e-7,13.57160900762063
-4.515524653409439,2.257762326704719,-147.697211913973,1.0430014187134377e-9,5.877376023666533e-7,13.567410064488591
-2.6280544556440146,5.912048244583658,-147.2221988127729,1.0587204935598044e-9,5.877376023666533e-7,13.555099580783502
1.8946272594960751,5.407982306269543,145.82432524214485,1.1066781170367885e-9,6.003980302678449e-7,13.518490716159995
-4.219432533659701,7.87039751145852,-144.5326888335184,1.1533568366906903e-9,6.066113773647823e-7,13.484150206322859
4.026577760760988,4.817361687245848,144.11517385094183,1.1689549394151894e-9,6.066113773647823e-7,13.472942656693114
-3.562928527794848,7.088291454597362,-141.11436840707037,1.2889405587384146e-9,6.465964767352408e-7,13.390814677321217
-4.45414945690937,3.9853287228021785,-140.85073796275253,1.3001814286494725e-9,6.465964767352408e-7,13.383464852789224
-7.7256295898459415,4.195496688761058,-139.54812923644909,1.357504034198547e-9,6.613260979663982e-7,13.346822724557779
-5.331005915003798,2.665502957501899,-137.05346038389675,1.4761090832139228e-9,7.047239985079911e-7,13.275102057992981
-7.826090880018599,3.9734695904323702,-135.7697158342181,1.5420441854975124e-9,7.217673872943357e-7,13.237382988149935
6.531067014221458,3.29179678884905,134.86009675369962,1.5909376281036023e-9,7.303321561627133e-7,13.210314589044316
-6.647885736209052,3.323942868104526,-132.62351086676833,1.7194052126727578e-9,7.744136194662529e-7,13.142525100730165
-2.657207459197447,1.3286037295987234,-129.61454254204622,1.9127493089083483e-9,8.455414583879849e-7,13.048470286777231
3.7014091141555885,5.636997040597315,128.3959889984003,1.9985104446028104e-9,8.5329891856643e-7,13.009417205862327
-2.5926870790565486,2.761833631999634,-127.91252165591607,2.033827308063916e-9,8.5329891856643e-7,12.993765007489998
-4.354130535345557,2.177065267672779,-127.86233497490782,2.0375366913110684e-9,8.5329891856643e-7,12.992135039935476
6.469065243222906,5.050120232170825,126.74334174250349,2.1224197395079643e-9,8.735220965826658e-7,12.955537040327105
-5.062389661644758,2.5311948308223795,-126.22036955599624,2.1635618790126164e-9,8.753624680323756e-7,12.93826358709266
2.3764736248384173,7.635027339585764,125.44219391932549,2.2265905230131403e-9,8.85849039580778e-7,12.912359041755941
2.219316400115104,1.1096582000575521,124.1549645159994,2.3358245551200905e-9,9.020902506655133e-7,12.868971247840733
-8.351138935854184,4.311493360040954,-124.07305401357375,2.342993403764477e-9,9.020902506655133e-7,12.86618741211457
-8.068915909579111,4.165424088987882,-121.18606446745397,2.613649361242749e-9,9.903241889242169e-7,12.76627585972727
-4.006588839840371,2.003294419920185,-119.60519502770252,2.777959053079627e-9,1.0246884750701997e-6,12.710050913731415
-2.481166207137678,2.088089161627396,-119.49203465660383,2.7901952527989185e-9,1.0246884750701997e-6,12.70598411234467
-4.271556344717154,2.135778172358577,-118.25460757964768,2.9283692764549917e-9,1.051465327049254e-6,12.661139434342019
-1.8163252133672163,4.4452672896293075,-118.05695032183694,2.951203423078213e-9,1.051465327049254e-6,12.653912336504753
3.316525281741124,1.6582626408705619,117.617921994937,3.0027005973764736e-9,1.0522268605965305e-6,12.637796121334901
-2.740619063432247,5.156727955428096,-117.29314391721452,3.041500288264446e-9,1.0522268605965305e-6,12.625817082795084
-5.162320917047729,2.581160458523864,-115.2111498917509,3.3052364372850017e-09,1.1169247176506922e-6,12.547859083748087
-3.3358323120477986,1.6679161560238993,-115.0850013875297,3.3220918668341985e-9,1.1169247176506922e-6,12.54306982631374
-2.641428849134816,7.412476696397762,-113.6440301990155,3.522240212928354e-9,1.1523178247089992e-6,12.487818710964763
-4.65289367086806,7.542701095815098,-113.63244596599738,3.5239077208226277e-9,1.1523178247089992e-6,12.487370444350312
3.888747080772535,6.746355908391826,111.68713934835293,3.81806609875046e-9,1.2241482958610111e-6,12.411150113913674
-2.7949054073397748,5.098443349471418,-111.51107382288714,3.846136407757356e-9,1.2241482958610111e-6,12.404157780185844
2.3747092997138823,7.212454176147997,110.03005372861045,4.09246451820417e-9,1.285410796237523e-6,12.344710591922048
