Row.names,logFC,AveExpr,t,P.Value,adj.P.Val,B,UNIPROTKB
EGW08_002639,-1.7848457661198438,1.8394956815518122,-5.4632648372085,0.0035055142369709346,0.011271569282156947,-3.5345884007778556,A0A3S1BR92
EGW08_002671,1.5907130894275552,0.9782062307704351,6.466674122661865,0.0017316836551266562,0.0064649703677711,-2.6945210441944774,A0A3S1CD84
EGW08_002672,-2.778717343719546,3.1109333541191906,-18.971311966037327,1.4027424250062549e-5,1.9239121725045662e-4,3.0997941707405143,A0A433U6Y3
EGW08_002675,-3.6892116573666582,1.8446058286833291,-199.95042454305724,2.554981677461462e-10,3.1185823284319576e-7,14.603775026521923,A0A3S0ZYX8
EGW08_002678,-1.7331899786325977,0.8665949893162989,-14.689382143152406,4.5256959321369875e-5,4.3649651553956376e-4,1.6886964448972215,A0A3S0ZY47
EGW08_002686,2.829863815463073,1.8747584165192916,16.903933080870267,2.3816641298388464e-5,2.8089280851473865e-4,2.462398585255846,A0A3S1CD91
EGW08_002687,2.7359394981472307,1.789777192625592,78.94117117715459,1.9118051268554558e-8,2.9958396867074973e-6,10.77433688844113,A0A433U6U5
EGW08_002688,1.957139369478271,1.2386591470354682,9.650439101811706,3.017311624911182e-4,0.0017177735701944866,-0.5978594802347761,A0A3S1BJ63
EGW08_002693,8.155663973999829,4.481603757448917,21.515937401390765,7.86196883689836e-6,1.3193311168113527e-4,3.7959124594207623,A0A3S1BRC4
EGW08_002694,-0.9652555467574198,5.144359778914908,-19.491537653229337,1.2387583948752837e-5,1.777067406494465e-4,3.2493689968175197,A0A433U6V0
EGW08_002696,0.8232710402235384,3.4243541310626617,9.9743411860604,2.6039953831191406e-4,0.00154128375379214,-0.4204922652919816,A0A433U7B3
EGW08_002706,-1.8784963151788465,1.4794963265342402,-35.205320213062834,8.084819124074934e-7,3.117814496135586e-5,6.5105027844733225,A0A433U756
EGW08_002715,-1.4435588610043404,2.2193896531844324,-8.196542683072979,6.214153944382806e-4,0.0029414647790276015,-1.4666404951053629,A0A433U6T2
EGW08_002716,-1.134937465048158,2.5444956571122503,-28.1539357161453,2.273546464825359e-6,5.9770735310403236e-5,5.281871011052072,A0A433U766
EGW08_002718,-0.8130885202161355,2.487024932899722,-7.143467926259198,0.0011307068820550336,0.004648028927421338,-2.1846497223946955,A0A433U6U6
EGW08_002719,1.7807947974609861,1.233346482787799,6.6374876969700365,0.0015497386088024914,0.005941826265776465,-2.5618690381098084,A0A433U6V5
EGW08_002724,-3.0082495185649107,2.1617474078790853,-8.85804647757222,4.4141753602074764e-4,0.0022699435593173775,-1.0556093973457195,A0A3S1AE35
EGW08_002730,-1.521205262411635,1.0216137629025805,-16.0305318024919,3.0363716176486422e-5,3.329408676384508e-4,2.1697696194128664,A0A3S1CD61
EGW08_002733,0.8490239726323443,2.99174403227742,6.151889447754239,0.002138695832615044,0.007649506775599898,-2.9464941382926613,A0A433U6R3
EGW08_002738,-3.515943609801356,2.227870333406088,-11.851297640835456,1.1997434913618356e-4,8.640723412424076e-4,0.5132529561772454,A0A3S1BV32
EGW08_002739,-0.8633567083877898,0.5262993696030376,-7.283585868606417,0.001039691759160993,0.004357942402621961,-2.084116831211257,A0A433U6N3
EGW08_002743,1.5193057392194653,4.01562277178485,13.121965447589266,7.563519578336718e-5,6.130675876619319e-4,1.0694893672856338,A0A3S1BR80
EGW08_002744,0.8412552992892062,6.879975424234217,16.171875534362808,2.9168425052112345e-5,3.237003600274169e-4,2.2181676379833544,A0A433U6R5
EGW08_002754,-1.346493712240239,4.3132365139221545,-6.698501525616758,0.0014903551803003825,0.0057641394214112815,-2.5151556845019467,A0A3S1BV16
EGW08_002755,-1.2119768457475089,4.224885164609572,-36.04850515031255,7.245659257177778e-7,2.8541440945229494e-5,6.639994535106954,A0A433U6Z3
EGW08_002756,-0.8660951019314439,1.3746225844466102,-8.477427006497072,5.358508400191557e-4,0.002621167090593702,-1.288659619404088,A0A433U6I1
EGW08_002763,1.2726044078572545,0.8155883291948484,9.706471315662322,2.9404377963719255e-4,0.0016850482546835774,-0.5667921084361378,A0A433U6J8
EGW08_002775,1.802299226058718,3.2864918351416117,6.491986302023238,0.0017031696775117364,0.006391505010514488,-2.6746870814650308,A0A433U715
EGW08_002779,-2.789064140594363,2.6326320230949736,-17.013333444866394,2.3122996902338992e-5,2.7502195269344e-4,2.498004485012352,A0A433U6M0
EGW08_002781,-1.415860495076942,3.2704982963336455,-4.022106741833181,0.011735064083101182,0.029877404084652153,-4.958177357609729,A0A433U6S5
EGW08_002785,-1.4055234136083075,0.7027617068041537,-6.98992211438152,0.001241652961353906,0.00500582635373739,-2.2967260414476085,A0A3S1BR70
EGW08_002789,-1.9653686941355741,2.06753294998292,-30.85542106136587,1.4884206786173835e-6,4.558073414711738e-5,5.786618213072611,A0A433U6D9
EGW08_002790,-1.4319371736581303,1.8037441286018194,-13.208263364531751,7.341677955921215e-5,6.029987878657105e-4,1.1053836091287828,A0A3S1BIY3
EGW08_002795,1.1983241006353866,5.241863724097909,19.883726565287326,1.1303386168563808e-5,1.671766612328294e-4,3.3595350450906185,A0A433U6G5
EGW08_002796,1.097881661223381,7.509638403461883,14.822870967917467,4.3427233952723327e-5,4.2416182556688156e-4,1.738449581249773,A0A3S1BUZ9
EGW08_002797,-1.3660098121055675,1.2355632817262745,-7.3802556019776615,9.820004043602276e-4,0.004168088842902382,-2.015701173229675,A0A433U6L3
EGW08_002800,-0.99271691427091,2.0305000357167735,-33.67879320441105,9.92631536834807e-7,3.541869568876484e-5,6.267605467007247,A0A433U6I0
EGW08_002807,-1.2348591872252936,1.6525127800187778,-8.155385942136302,6.352928875615147e-4,0.002991343937017347,-1.4931665799792588,A0A433U6M3
EGW08_002808,-1.5040013101834937,5.168027280070869,-18.504523633663144,1.572790426662999e-5,2.0800044473613544e-4,2.9620851024598505,A0A3S1CD37
EGW08_002811,1.2059374123581894,4.042325964688181,10.384239400923091,2.1745686122770041e-4,0.0013475889756922213,-0.20344406175899543,A0A433U6X7
EGW08_002813,-1.0164173498189242,3.0217028722984667,-8.686950774613706,4.811545898040244e-4,0.002417903587703416,-1.1592483258340316,A0A3S1BIZ4
EGW08_002823,1.0017547652046424,1.8966138493673699,3.438386588007908,0.02076893284791,0.04752446280794283,-5.620129670366925,A0A3S0ZXV8
EGW08_002830,-1.0684386382190434,0.6040690461339965,-10.937229796393465,1.7227407328121314e-4,0.0011279085033724188,0.07717244686088343,A0A433U6E4
EGW08_002831,-1.7858288419190183,2.388882484213792,-38.57208746366547,5.296420028436534e-7,2.3543918528642176e-5,7.009344647427227,A0A3S1A337
EGW08_002838,-2.1463328374257364,1.0731664187128682,-42.365015398056094,3.4296499381211523e-7,1.8274369123412952e-5,7.5189312750560156,A0A3S1BQZ0
EGW08_002840,-0.8738753568194078,3.1256687143568405,-4.193932000569586,0.010016516320329787,0.02625499737373365,-4.773124254227611,A0A433U6F2
EGW08_002846,1.483617031333958,2.409778968734339,14.196476783652153,5.2875531961415996e-5,4.8308364762345897e-4,1.5011190458457584,A0A433U6D5
EGW08_002847,0.8469643320229343,2.2044815059116303,8.993308702506933,4.127767303941405e-4,0.002158938065564971,-0.9749314686217048,A0A3S1ADY4
EGW08_002858,-1.1793726641211064,6.073731690666616,-20.713804970708225,9.364724739046556e-6,1.4814138120992733e-4,3.585746209271223,A0A433U6M8
EGW08_002860,1.0840931582889173,5.401396328900579,13.762767116673023,6.089792175446441e-5,5.316901391196403e-4,1.3308024373643264,A0A433U6B6
EGW08_002864,-1.53671219410905,1.0447365802782096,-11.250264658243234,1.517264577340448e-4,0.0010254423195270054,0.2302316881738573,A0A3S1HZM7
EGW08_002874,2.9246577539012675,3.834423012389112,28.748927949626452,2.064071678696634e-6,5.5926736710746145e-5,5.397184499097701,A0A433U6D2
EGW08_002887,-2.5897939078553995,1.73100067919254,-14.1245021894454,5.4114014186200484e-5,4.91161837505244e-4,1.4732044175525658,A0A3S1BUX2
EGW08_002888,-1.6763204932990299,0.9267858454537854,-17.58373019746669,1.9878901007364474e-5,2.4689346823454595e-4,2.6800817075199532,A0A3S0ZXU8
EGW08_002889,-1.2855300992491774,3.179866548467789,-5.070887828121916,0.004749393327176681,0.014407519140047597,-3.8945834736330323,A0A433U696
EGW08_002891,0.8580096082364514,3.5694014268904937,12.224760786441436,1.0427016933211215e-4,7.773370431376793e-4,0.6823839264511058,A0A3S1BR14
EGW08_002892,-1.2310164396742733,5.418024760787229,-38.64110798875362,5.252739234298731e-7,2.3393309377228545e-5,7.019085240004404,A0A3S1HZQ2
EGW08_002902,-0.8728220231338453,2.493207228583943,-7.413788565285214,9.628911126603068e-4,0.004108897702952125,-1.9921457531384892,A0A433U6C5
EGW08_002903,-2.802275868367801,2.0201001118828397,-19.403870551697764,1.264694105768811e-5,1.8066734290130034e-4,3.224442440068433,A0A433U6D3
EGW08_002906,1.5605128559175845,3.034034069053476,29.683881094658563,1.7801972204464867e-6,5.1604537858739476e-5,5.573533433968368,A0A433U630
EGW08_002907,-3.0090309711120127,4.08381951335386,-45.03982350744218,2.582328495132962e-7,1.5466519597540535e-5,7.849790810673163,A0A3S1BQX3
EGW08_002912,0.8313620055014868,2.2963417766714604,4.8226221840738335,0.005808646219896078,0.016919852826740606,-4.1325391948266805,A0A3S1CCX6
EGW08_002913,-1.140668662594171,2.4419940768808837,-11.198211007760131,1.5492903275789754e-4,0.001041458758952228,0.20505759160967507,A0A3S1BIT6
EGW08_002919,-2.9488493292887217,5.986952786477426,-13.759543911722686,6.0962855799794505e-5,5.316932154902793e-4,1.3295174754515067,A0A433U661
EGW08_002922,-1.0187800465020298,2.85016217894643,-19.254172014187525,1.3105217785597945e-5,1.8489045730496958e-4,3.1816189967006334,A0A433U662
EGW08_002923,-1.1826471347506513,3.983148567975962,-19.190172032390763,1.3307276941936785e-5,1.8648860302642294e-4,3.163210045320282,A0A433U651
EGW08_002924,-0.8661332321416682,5.122724290963502,-11.659507495325993,1.291479505653854e-4,9.13449104576686e-4,0.4244339236435426,A0A433U671
EGW08_002926,0.836201866060195,0.41810093303009743,6.8293031706312375,0.001371977090247092,0.005407043936154587,-2.4161692181538568,A0A3S1BQY3
EGW08_002941,-2.2008076156854015,1.9334323833948859,-36.73872548726804,6.636449892678077e-7,2.712648893632164e-5,6.743653693925845,A0A433U617
EGW08_002942,-3.0288876760174395,3.821115682518986,-13.97932459304619,5.672076993601992e-5,5.072991754000493e-4,1.4164794610260376,A0A433U6F7
EGW08_002945,0.9669290138354723,4.20598628953428,7.826206907209358,7.608109220390732e-4,0.0034260172646660473,-1.7096188420682044,A0A3S1BUT2
EGW08_002951,1.842015238938933,1.5202825119649908,13.044675698116277,7.769125641097974e-5,6.256976996580625e-4,1.0371500393828317,A0A3S1HZJ1
